Submit,Submit
"Upload CSV","Upload CSV"
"Add Region","Add Region"
msg,msg
"Region Code Successfully Added.","Region Code Successfully Added."
"Region Code Successfully Deleted.","Region Code Successfully Deleted."
"View Region","View Region"
"Region code not updated.","Region code not updated."
"Region code updated.","Region code updated."
Country,Country
"Region Code","Region Code"
"Region Name","Region Name"
"Upload CSV File","Upload CSV File"
"Download Sample File","Download Sample File"
"No results found.","No results found."
"Something went wrong.","Something went wrong."
Webkul,Webkul
"Region Upload","Region Upload"
"General Settings","General Settings"
Active,Active
"Enable Google Pin At Checkout","Enable Google Pin At Checkout"
"API Key","API Key"
"enter the Google map API key","enter the Google map API key"
"Delete selected items?","Delete selected items?"
"Delete items","Delete items"
Delete,Delete
Edit,Edit
Id,Id
"Country Id","Country Id"
Code,Code
Name,Name
"Add Regions","Add Regions"
"View Regions","View Regions"
"Cancel","Cancel"
"Apply Filters","Apply Filters"
"Regions List","Regions List"